Produkt,Kategori,Total kg CO2e/kg,Landbrug,ILUC,Forarbejdning,Emballage,Transport,Detail
Peberfrugt,Grøntsager og grøntsagsprodukter,0.96,0.44,0.09,0.00,0.14,0.28,0.01
Tomat,Grøntsager og grøntsagsprodukter,0.46,0.18,0.02,0.00,0.14,0.11,0.01
Squash,Grøntsager og grøntsagsprodukter,0.73,0.31,0.11,0.00,0.06,0.25,0.01
Aubergine,Grøntsager og grøntsagsProdukt,0.87,0.37,0.06,0.00,0.14,0.30,0.01
Tomat. soltørret,Grøntsager og grøntsagsprodukter,2.33,1.50,0.25,0.00,0.26,0.32,0.01
Græskar,Grøntsager og grøntsagsprodukter,0.73,0.31,0.11,0.00,0.06,0.25,0.01
Agurk,Grøntsager og grøntsagsprodukter,0.37,0.13,0.02,0.00,0.14,0.08,0.01
Drueagurk (sylteagurk),Grøntsager og grøntsagsprodukter,0.37,0.13,0.02,0.00,0.14,0.08,0.01
Peber. chili,Grøntsager og grøntsagsprodukter,0.96,0.44,0.09,0.00,0.14,0.28,0.01
Oksekød. inderlår uden kappe,Kød og fjerkræ,55.31,45.47,10.31,-2.40,0.14,1.80,0.00
Oksekød. mørbrad. afpudset,Kød og fjerkræ,185.76,153.03,34.68,-8.08,0.14,5.99,0.00
Oksekød. hakket. 10-15% fedt,Kød og fjerkræ,39.09,32.77,7.40,-2.50,0.14,1.28,0.00
Oksekød. culotte,Kød og fjerkræ,55.31,45.47,10.31,-2.40,0.14,1.80,0.00
Oksekød. hakket. 15-20% fedt,Kød og fjerkræ,37.03,30.85,6.97,-2.14,0.14,1.21,0.00
Oksekød. tyndsteg med mørbrad,Kød og fjerkræ,98.53,81.10,18.38,-4.28,0.14,3.19,0.00
Oksekød. hakket. 5-10% fedt,Kød og fjerkræ,41.15,34.70,7.82,-2.86,0.14,1.35,0.00
Øl. pilsner. 4.4 % vol.. dåse,Vin. øl og spiritus,0.65,0.10,0.09,0.25,0.17,0.03,0.01
Øl. letøl. 1.7 % vol.. dåse,Vin. øl og spiritus,0.65,0.10,0.09,0.25,0.17,0.03,0.01
Øl. stærk. 7.6 % vol.. dåse,Vin. øl og spiritus,0.65,0.10,0.09,0.25,0.17,0.03,0.01
Kiks. Marie,Brød og bageartikler,2.87,0.61,0.21,1.19,0.67,0.18,0.01
Kiks. fuldkorns-. digestivetype,Brød og bageartikler,2.81,0.54,0.21,1.21,0.67,0.18,0.01
Småkage. hvede. traditionelle danske. industrifremstillet,Brød og bageartikler,3.17,0.72,0.23,1.37,0.67,0.17,0.01
Småkage. cookie (amerikansk type). industrifremstillet,Brød og bageartikler,2.81,0.54,0.21,1.21,0.67,0.18,0.01
Müslibar,Korn og kornprodukter,4.08,1.57,1.24,0.30,0.67,0.29,0.01
Vaffelrør,Brød og bageartikler,2.53,1.29,0.49,0.19,0.22,0.34,0.01
Rasp,Brød og bageartikler,1.50,0.82,0.28,0.26,0.04,0.09,0.01
Knækbrød. rug. groft,Brød og bageartikler,1.30,0.59,0.30,0.28,0.04,0.09,0.01
Hvedebrød. toastbrød. fint. industrifremstillet,Brød og bageartikler,0.94,0.54,0.19,0.10,0.04,0.07,0.01
Pølsebrød,Brød og bageartikler,0.94,0.54,0.19,0.10,0.04,0.07,0.01
Grovbolle,Brød og bageartikler,0.94,0.54,0.19,0.10,0.04,0.07,0.01
Rugbrød. fuldkorn. industrifremstillet,Brød og bageartikler,0.81,0.39,0.20,0.11,0.04,0.06,0.01
Rugbrødskrymmel/ymerdrys,Brød og bageartikler,1.87,0.93,0.25,0.40,0.04,0.24,0.01
Cornflakes,Korn og kornprodukter,2.00,0.76,0.27,0.26,0.58,0.13,0.01
Müsli,Korn og kornprodukter,1.97,0.83,0.34,0.14,0.58,0.07,0.01
Morgenmadsprodukt. Guldkorn,Korn og kornprodukter,2.41,0.87,0.24,0.52,0.58,0.20,0.01
Morgenmadsprodukt. Havrefras,Korn og kornprodukter,1.88,0.58,0.26,0.36,0.58,0.10,0.01
Smør. saltet,Mælk. mejeriprodukter og æg,3.86,0.07,0.17,3.32,0.24,0.05,0.00
Smørbart blandingsprodukt. 75% fedt,Mælk. mejeriprodukter og æg,3.73,0.03,0.19,3.12,0.24,0.14,0.00
Skærekage. chokoladekage,Brød og bageartikler,2.29,0.57,0.22,0.89,0.41,0.20,0.00
Wienerbrød. kanelsnegl,Brød og bageartikler,1.88,0.54,0.17,1.02,0.04,0.11,0.01
Skærekage. formkage,Brød og bageartikler,2.29,0.57,0.22,0.89,0.41,0.20,0.00
Flødeskumskage. lagkagesnitte,Brød og bageartikler,2.29,0.57,0.22,0.89,0.41,0.20,0.00
Kage. trøffelprodukt / koldprodukt. industrifremstillet,Brød og bageartikler,3.25,0.89,0.95,0.74,0.47,0.20,0.01
Grisekød. bacon. stegestykke,Kød og fjerkræ,6.43,3.61,2.16,-0.31,0.14,0.83,0.00
Grisekød. spegepølse. salami,Kød og fjerkræ,5.90,2.51,1.55,1.23,0.02,0.58,0.01
Grisekød. skinke. kogt. pålæg,Kød og fjerkræ,4.28,2.32,1.38,0.01,0.02,0.54,0.00
Oksekød. roastbeef. pålæg,Kød og fjerkræ,55.40,45.47,10.31,-2.18,0.02,1.79,0.00
Grisekød. medisterpølse,Kød og fjerkræ,2.73,1.48,0.86,-0.10,0.14,0.35,0.00
Grisekød. leverpostej,Kød og fjerkræ,3.97,1.54,0.92,-0.05,1.18,0.37,0.00
Grisekød. rullepølse. pålæg,Kød og fjerkræ,4.28,2.32,1.38,0.01,0.02,0.54,0.00
Grisekød. pølse bratwurst,Kød og fjerkræ,2.13,1.09,0.64,0.11,0.02,0.26,0.00
Kylling. bryst (filet). kogt. pålæg,Kød og fjerkræ,4.76,2.22,1.59,0.16,0.02,0.77,0.00
Kylling. ben. kød og skind,Kød og fjerkræ,1.97,0.89,0.64,-0.02,0.14,0.32,0.00
Kylling. lår. kød og skind,Kød og fjerkræ,1.87,0.84,0.61,-0.02,0.14,0.31,0.00
Kylling. bryst. kød og skind,Kød og fjerkræ,5.18,2.47,1.78,-0.06,0.14,0.86,0.00
Kylling. pølse. pålæg,Kød og fjerkræ,1.89,0.82,0.57,0.19,0.02,0.28,0.00
Kylling. høne. kød og skind,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.54,0.00
Te. blade,Drikkevarer,13.81,4.99,4.40,1.47,1.94,1.02,0.01
Kaffe. instant. pulver,Drikkevarer,14.59,4.36,4.02,2.43,3.21,0.57,0.01
Kaffe. bønner. ristet. formalet,Drikkevarer,5.41,2.42,2.21,0.21,0.24,0.32,0.01
Kakao. instant. uden mælk. pulver,Drikkevarer,12.44,4.53,8.52,-5.50,4.32,0.56,0.01
Kakao. pulver,Drikkevarer,12.44,4.53,8.52,-5.50,4.32,0.56,0.01
Lammekød. rullepølse. lammekød. pålæg,Kød og fjerkræ,28.53,25.17,7.03,-4.38,0.02,0.68,0.00
Oksekød. spegepølse,Kød og fjerkræ,40.54,32.12,7.36,-0.26,0.02,1.28,0.01
Grisekød. hamburgerryg. kogt,Kød og fjerkræ,4.28,2.32,1.38,0.01,0.02,0.54,0.00
Dressing. olie-eddike,Smagsgivere og krydderier,3.83,0.15,0.21,3.02,0.42,0.03,0.01
Dressing. thousand island,Smagsgivere og krydderier,3.51,0.27,0.43,2.22,0.42,0.16,0.01
Vand. postevand,Drikkevarer,0.00,0.00,0.00,0.00,0.00,0.00,0.00
And. kød,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.53,0.00
Gås. kød,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.53,0.00
Makrelsalat. mayonnaise,Smagsgivere og krydderier,2.71,0.19,0.29,1.95,0.24,0.04,0.00
Sennep dild sauce,Smagsgivere og krydderier,1.94,0.31,0.21,0.65,0.64,0.13,0.00
Italiensk salat. mayonnaise,Smagsgivere og krydderier,3.48,0.12,0.29,2.04,0.64,0.38,0.01
Karrysalat. mayonnaise,Smagsgivere og krydderier,3.48,0.12,0.29,2.04,0.64,0.38,0.01
Yoghurt naturel. sødmælk,Mælk. mejeriprodukter og æg,0.89,0.31,0.08,0.17,0.26,0.08,0.00
Creme fraiche 18 %,Mælk. mejeriprodukter og æg,1.85,0.23,0.11,1.19,0.26,0.06,0.00
Skyr. 0.2 % fedt,Mælk. mejeriprodukter og æg,1.32,0.67,0.16,0.09,0.26,0.14,0.00
Danbo ost. 45+,Mælk. mejeriprodukter og æg,6.63,2.87,0.61,2.28,0.35,0.53,0.00
Parmesan ost. 32+,Mælk. mejeriprodukter og æg,6.63,2.87,0.61,2.28,0.35,0.53,0.00
Mozzarella ost. 30+,Mælk. mejeriprodukter og æg,6.63,2.87,0.61,2.28,0.35,0.53,0.00
Sild. marineret,Fisk og skaldyr,6.04,0.74,1.01,2.61,1.56,0.13,0.00
Fiskeboller. konserves,Fisk og skaldyr,2.65,0.11,0.44,1.42,0.63,0.04,0.01
Fiskefars,Fisk og skaldyr,3.51,0.16,0.68,1.98,0.64,0.05,0.00
Torsk. lever. konserves,Fisk og skaldyr,10.39,0.00,0.96,2.66,6.74,0.02,0.01
Torskerogn. konserves,Fisk og skaldyr,5.03,0.00,0.78,2.66,1.56,0.02,0.01
Rejer. konserves,Fisk og skaldyr,10.11,1.58,2.44,4.32,1.56,0.21,0.01
Torsk. filet. paneret,Fisk og skaldyr,2.80,0.25,0.56,1.68,0.26,0.05,0.00
Kaviar. stenbiderrogn,Fisk og skaldyr,4.95,0.00,0.79,2.66,1.47,0.02,0.01
Fiskefrikadelle,Fisk og skaldyr,4.29,0.22,0.89,2.49,0.64,0.05,0.00
Torskelever. røget,Fisk og skaldyr,4.57,0.00,0.98,3.42,0.14,0.02,0.00
Torskelever,Fisk og skaldyr,3.59,0.00,0.77,2.66,0.14,0.02,0.00
